gene,logfoldchange,pval_adj,score
ENSG00000224533,0.062218685,1.0,0.29539955
ENSG00000138135,0.06201297,1.0,0.052981984
ENSG00000277851,0.061672505,1.0,0.2585044
ENSG00000100629,0.06154282,1.0,0.27900898
ENSG00000150760,0.061404373,1.0,0.19014303
ENSG00000205056,0.05890122,1.0,0.113007724
ENSG00000226453,0.0582318,1.0,0.106575295
ENSG00000196511,0.057197988,1.0,0.47842193
ENSG00000227082,0.05710806,1.0,-0.30502704
ENSG00000115183,0.056878645,1.0,0.28150427
ENSG00000105372,0.05616183,1.0,0.27724034
ENSG00000129084,0.055207964,1.0,0.043938905
ENSG00000248905,0.05406188,1.0,-0.14766517
ENSG00000234129,0.053425554,1.0,0.02553747
ENSG00000158373,0.053069346,1.0,0.18546002
ENSG00000104760,0.05276994,1.0,-0.0047137816
ENSG00000169313,0.052710436,1.0,0.27153075
ENSG00000185915,0.05192821,1.0,0.016140666
ENSG00000128573,0.05177525,1.0,-0.4714243
ENSG00000170525,0.050846405,1.0,0.31451613
ENSG00000258667,0.049639538,1.0,0.1841643
ENSG00000255274,0.046299357,1.0,0.11122372
ENSG00000118515,0.04600499,1.0,0.4284697
ENSG00000225689,0.04493071,1.0,0.4844737
ENSG00000231131,0.044889327,1.0,0.3250587
ENSG00000151322,0.04484636,1.0,0.20330779
ENSG00000096060,0.044516247,1.0,-0.1267146
ENSG00000179241,0.04348652,1.0,0.010903984
ENSG00000155792,0.04322599,1.0,0.48252824
ENSG00000163590,0.0418173,1.0,0.22397384
ENSG00000122025,0.039866768,1.0,-0.0052366806
ENSG00000248752,0.03841647,1.0,-0.011980541
ENSG00000198786,0.038298767,1.0,0.18730938
ENSG00000258274,0.03825072,1.0,0.078369506
ENSG00000137462,0.037900705,1.0,0.5822635
ENSG00000234840,0.03650564,1.0,0.030593444
ENSG00000121101,0.035902046,1.0,-0.006094082
ENSG00000259336,0.034680218,1.0,0.011795989
ENSG00000281357,0.033966,1.0,0.1089591
ENSG00000249797,0.032521706,1.0,-0.0030989463
ENSG00000205542,0.03227533,1.0,0.7497143
ENSG00000172985,0.032062937,1.0,0.13232423
ENSG00000286618,0.030940762,1.0,0.123604126
ENSG00000231672,0.030588936,1.0,0.08479809
ENSG00000254538,0.030328343,1.0,0.1012425
ENSG00000143333,0.03006584,1.0,0.0675232
ENSG00000118689,0.02922244,1.0,0.3021588
ENSG00000125246,0.028667333,1.0,0.11009718
ENSG00000019169,0.026613932,1.0,-0.02377653
ENSG00000251513,0.026516229,1.0,-0.017878536
ENSG00000158813,0.02606667,1.0,-0.0015917664
ENSG00000198888,0.024166401,1.0,0.084602
