"pseudotime_L1","pseudotime_L2","disease_group","cluster","Braak","ADNC"
4.65649718734845,4.42916505863481,"AD_High","2","Braak VI","High"
10.8261466148172,10.9299957326222,"AD_Low_Int","2","Braak II","Low"
14.8285144153657,10.8545339641157,"Reference","2","Reference","Reference"
10.0886641081065,10.8820040395929,"AD_High","2","Braak V","High"
2.97879200014243,2.80223765408706,"Control","4","Braak IV","Not AD"
9.20629197186368,9.59778208121034,"AD_High","2","Braak V","High"
2.85014444226245,2.67442430604809,"Control","4","Braak IV","Not AD"
2.72435356322117,2.54236032892941,"AD_High","4","Braak V","High"
5.3231628279191,5.08013678949164,"AD_Low_Int","2","Braak III","Intermediate"
3.09183519897645,2.91463800119818,"AD_Low_Int","2","Braak IV","Intermediate"
8.47758544972849,8.33914894361397,"Control","2","Braak II","Not AD"
11.7058320573057,2.95371161420325,"AD_High","4","Braak VI","High"
7.93066310708338,7.89625147022731,"AD_High","2","Braak V","High"
4.98327695124376,4.76203583587335,"AD_Low_Int","2","Braak IV","Intermediate"
5.79283423453122,5.52498448106727,"AD_High","2","Braak V","High"
8.31790816999475,8.37930650216924,"Reference","2","Reference","Reference"
8.62252824169797,8.59902162389528,"AD_Low_Int","2","Braak IV","Low"
9.06422468725293,9.21997124118751,"AD_High","2","Braak V","High"
10.987503010379,11.2883641525809,"AD_High","2","Braak V","High"
11.3242665052167,11.720229454591,"AD_High","2","Braak V","High"
6.66946688717793,6.51148052849922,"AD_Low_Int","2","Braak IV","Intermediate"
8.8831461363653,9.21551850611589,"Control","2","Braak IV","Not AD"
8.00842905708468,7.86874629961936,"Control","2","Braak IV","Not AD"
5.85848499071589,5.66186854841058,"AD_Low_Int","2","Braak III","Intermediate"
11.0939278793816,5.27504575878032,"AD_High","2","Braak V","High"
11.007645871168,11.5284969707257,"AD_High","2","Braak VI","High"
9.20629197186368,9.79746490433576,"Reference","2","Reference","Reference"
4.7236738021759,4.49742899344343,"AD_Low_Int","2","Braak III","Low"
10.5450843414213,10.6345443588361,"AD_High","2","Braak V","High"
3.45333661237095,3.2725076481577,"AD_Low_Int","4","Braak VI","Intermediate"
8.50463400629198,8.57840009465304,"AD_High","2","Braak V","High"
9.84249800833453,10.4696623563121,"AD_High","2","Braak V","High"
10.9597304448095,11.0661978599972,"AD_High","2","Braak VI","High"
9.42283258501307,9.71804833621651,"AD_Low_Int","2","Braak III","Low"
14.8937326013995,10.4817933101839,"AD_High","2","Braak V","High"
6.5759078938336,6.42376725212929,"AD_High","2","Braak VI","High"
6.97037908826111,6.84135274728226,"AD_Low_Int","2","Braak IV","Low"
11.758072981589,14.015241353065,"AD_High","4","Braak VI","High"
14.2760425199633,11.6121465859597,"Control","2","Braak IV","Not AD"
6.87405919282249,6.44472888746631,"AD_Low_Int","2","Braak V","Intermediate"
9.19140579873942,9.14337309379909,"AD_Low_Int","2","Braak III","Low"
8.02442689191832,7.95363616617663,"AD_High","2","Braak V","High"
10.4989663238965,10.7599516991609,"AD_High","2","Braak V","High"
10.6505656622202,6.21111590531106,"AD_High","2","Braak VI","High"
5.74604361274296,5.42472041122753,"Control","2","Braak IV","Not AD"
11.802174562912,14.2815673914937,"Reference","4","Reference","Reference"
6.65898052849037,6.19243217391567,"AD_High","2","Braak V","High"
8.5111623467808,8.60435249808737,"Reference","2","Reference","Reference"
14.4879144651438,10.8668363155807,"AD_High","2","Braak VI","High"
11.3176042542428,4.57053847502735,"AD_Low_Int","2","Braak III","Low"
7.41083444832271,7.35218583904892,"Control","2","Braak II","Not AD"
9.38251215632131,9.60845770302175,"Control","2","Braak IV","Not AD"
14.064098485604,11.2720730976466,"AD_High","2","Braak VI","High"
6.77886619865018,6.60482295647839,"Control","2","Braak IV","Not AD"
3.73703862560993,3.50713920658482,"AD_High","2","Braak VI","High"
15.223276008998,10.6960682374419,"AD_Low_Int","2","Braak II","Low"
7.30272404373579,7.24822269855019,"AD_Low_Int","2","Braak III","Intermediate"
5.69227244485056,5.52776315606628,"AD_Low_Int","2","Braak IV","Intermediate"
3.14691357097574,2.9304891616028,"AD_High","3","Braak V","High"
4.8027034626037,NA,"AD_High","2","Braak V","High"
8.86664896388913,9.16745227383742,"AD_High","2","Braak V","High"
12.2727261256485,13.8006714433561,"AD_High","3","Braak VI","High"
4.28214126770652,NA,"AD_Low_Int","0","Braak III","Intermediate"
11.7293400881424,12.2810237478323,"AD_Low_Int","2","Braak VI","Intermediate"
12.9701600364655,11.5482230916712,"AD_High","2","Braak V","High"
9.11978373515591,9.35368085962676,"AD_Low_Int","2","Braak IV","Low"
2.87810357075616,2.70591125856156,"AD_High","4","Braak V","High"
