"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000135363",3.86621181750111e-92,-1.46338290746424,0.181,0.378,1.37184793920392e-87
"ENSG00000102445",7.81288512251034e-92,-0.894971200951275,0.342,0.543,2.77224602802034e-87
"ENSG00000133246",9.64190275320082e-92,-1.17448056617486,0.226,0.438,3.42123635391825e-87
"ENSG00000135838",3.53711262841276e-91,-0.67774889150102,0.48,0.67,1.2550736739397e-86
"ENSG00000134686",3.80867949151273e-91,-0.642272101689675,0.506,0.689,1.35143374397346e-86
"ENSG00000154309",4.52567831298243e-91,-0.745174557632838,0.448,0.633,1.60584643579556e-86
"ENSG00000231672",1.6736074978577e-90,1.31575292185288,0.342,0.186,5.93846148464849e-86
"ENSG00000173068",2.99224264540931e-90,-0.639481855739988,0.469,0.704,1.06173745787059e-85
"ENSG00000129515",2.55831192392186e-89,0.803847200249744,0.538,0.351,9.07765819965193e-85
"ENSG00000198840",3.08804974209715e-89,0.744203337027689,0.611,0.437,1.09573268998833e-84
"ENSG00000157933",3.93022556048133e-89,-0.677703959860554,0.488,0.659,1.39456193562559e-84
"ENSG00000105835",3.56232980621929e-87,1.24570259338726,0.377,0.216,1.26402148514079e-82
"ENSG00000146376",4.79593644969175e-87,0.832813646025743,0.547,0.389,1.70174213044413e-82
"ENSG00000159399",8.99819561424586e-87,-1.58645518162477,0.143,0.336,3.19282974980286e-82
"ENSG00000198888",1.01366838361511e-86,0.781469501373182,0.566,0.388,3.59679952558149e-82
"ENSG00000153317",2.11876009968324e-86,0.536860160966445,0.736,0.58,7.51799646170604e-82
"ENSG00000080839",9.68791429369377e-86,1.19463088749912,0.288,0.139,3.43756262883136e-81
"ENSG00000171843",1.9334331000787e-85,1.24073611706296,0.341,0.185,6.86040066900924e-81
"ENSG00000198089",1.38689490446209e-84,1.13312210521051,0.289,0.138,4.92111918950283e-80
"ENSG00000178695",1.95112553222944e-84,-0.950143422667173,0.331,0.509,6.92317872600971e-80
"ENSG00000167601",1.15416653679209e-83,-1.06677819743879,0.255,0.452,4.09532912249936e-79
"ENSG00000177575",1.9575367598871e-83,0.850001133277134,0.549,0.412,6.9459276851074e-79
"ENSG00000182287",2.70453219977917e-83,1.03663960413643,0.299,0.145,9.59649160447644e-79
"ENSG00000249738",2.91136711296478e-83,-2.10390654117247,0.099,0.274,1.03304039269329e-78
"ENSG00000255968",3.81431376422544e-83,-1.81271147534912,0.108,0.29,1.35343295296011e-78
"ENSG00000158470",3.99942262622962e-83,0.929317450072914,0.437,0.261,1.41911513046506e-78
"ENSG00000112038",1.20162172031784e-82,-1.2184812862071,0.187,0.387,4.2637143502038e-78
"ENSG00000227028",1.69879046477778e-82,-1.39311129039596,0.184,0.372,6.027818206171e-78
"ENSG00000159788",1.70569352307356e-82,-0.814726728287623,0.381,0.562,6.0523123279219e-78
"ENSG00000187672",2.02182652089356e-82,-0.762291730658931,0.419,0.6,7.17404704408661e-78
"ENSG00000197535",2.14201760285801e-82,0.535476845996172,0.743,0.616,7.60052106022107e-78
"ENSG00000138758",5.15913473055758e-82,0.907636481290195,0.413,0.238,1.83061577644375e-77
"ENSG00000138767",7.07145139526342e-82,0.938959746125879,0.558,0.394,2.50916309858132e-77
"ENSG00000100280",1.47758979252381e-81,-0.734143965266406,0.439,0.604,5.24293186081224e-77
"ENSG00000229140",1.65468165695619e-81,-1.34396318800506,0.19,0.375,5.87130692337764e-77
"ENSG00000104964",4.5384035279421e-81,1.07634115605621,0.316,0.161,1.6103617238197e-76
"ENSG00000144791",4.30662941807735e-80,0.833990116911157,0.455,0.275,1.52812131641639e-75
"ENSG00000150760",4.71303472151514e-80,1.11889388202275,0.263,0.123,1.67232611023522e-75
"ENSG00000100731",8.08160628122089e-80,0.582706324838713,0.721,0.586,2.86759635676561e-75
"ENSG00000197329",1.95747305549173e-79,-0.587643208885721,0.539,0.697,6.94570164280131e-75
"ENSG00000114166",9.6019311362555e-79,0.836842885863478,0.524,0.351,3.40705322507754e-74
"ENSG00000234428",1.08183495058223e-78,-1.71636019751285,0.117,0.294,3.83867495515092e-74
"ENSG00000154814",5.90329700803417e-78,1.22865735576513,0.344,0.194,2.09466687736076e-73
"ENSG00000155970",8.34464969691479e-78,-0.990230357360009,0.279,0.461,2.96093205195628e-73
"ENSG00000106785",1.44044906441364e-77,0.810873107426693,0.464,0.289,5.11114541525892e-73
"ENSG00000189067",1.6514001915431e-77,0.862595752705339,0.456,0.281,5.85966329965239e-73
"ENSG00000053524",2.28515911873393e-77,-1.20383376300338,0.213,0.4,8.10843010100361e-73
"ENSG00000104490",3.40329208203474e-77,1.51354677745715,0.291,0.156,1.20759012946839e-72
"ENSG00000184574",5.91583776771862e-77,-1.38828642365479,0.166,0.347,2.0991167151196e-72
"ENSG00000136603",2.17124847117186e-76,-0.865068214750471,0.337,0.512,7.70424095025911e-72
"ENSG00000005059",5.7356027407455e-76,0.982513097830269,0.315,0.162,2.03516392049873e-71
"ENSG00000197381",9.83968673016916e-76,1.12086577800231,0.314,0.167,3.49141604246592e-71
"ENSG00000118308",1.18906794735469e-75,-0.824685904932044,0.345,0.523,4.21916979759863e-71
"ENSG00000274020",1.83259044479032e-75,1.27413788146567,0.295,0.156,6.50258067524948e-71
"ENSG00000274536",3.13528298058791e-75,-0.890921973926369,0.302,0.491,1.11249246000201e-70
"ENSG00000136404",3.43113534419347e-75,-1.15995749014815,0.232,0.406,1.21746975418017e-70
"ENSG00000103995",1.76603519037181e-74,1.15384050306762,0.25,0.118,6.26642266599629e-70
"ENSG00000231887",2.41029878821252e-74,0.965449673079497,0.34,0.185,8.55246319021449e-70
"ENSG00000135605",3.70263121786803e-74,1.15696197465307,0.255,0.122,1.31380463503611e-69
"ENSG00000238113",4.42327162707357e-74,-1.63329465904101,0.135,0.302,1.56950947143451e-69
"ENSG00000115183",4.51808502453342e-74,-1.30952167948736,0.174,0.354,1.60315210925519e-69
"ENSG00000008513",5.5453684176523e-74,0.701869078229483,0.563,0.394,1.96766307563557e-69
"ENSG00000154655",8.88842115991592e-74,-0.591517519303998,0.496,0.669,3.15387848017297e-69
"ENSG00000085491",1.40956261791525e-73,1.06143890077976,0.274,0.134,5.00155103714869e-69
"ENSG00000169926",1.42909701150062e-73,1.1340853360252,0.3,0.158,5.07086492590764e-69
"ENSG00000057657",1.51221218118085e-73,1.1189092523202,0.289,0.148,5.36578248248402e-69
"ENSG00000198743",3.08660533451364e-73,1.08404700708028,0.305,0.161,1.09522017084547e-68
"ENSG00000100503",3.13158184701215e-73,0.656730331764179,0.576,0.39,1.11117918677532e-68
